Index,English
3233,"We then asked whether the fast calcium fluctuations are also affected in flies with Itpr knocked down in all pacemaker neurons. We performed the same high-frequency calcium imaging and analysis in Itpr knockdown flies as in α1T knockdown flies. The daily variation of pacemaker calcium was greatly reduced in Itpr knockdown flies, which largely recapitulated previous observations with less frequent sampling."
3234,"In addition, fast calcium fluctuations were significantly reduced in all circadian pacemaker neurons of the Itpr knockdown flies. These results suggested that rhythms in basal calcium levels, regulated by ITPR, may be necessary for rhythms in fast calcium fluctuations. In this study, we used in vivo 24-hour high-frequency calcium imaging and genetic screening to study the cellular biology of daily calcium rhythms in circadian pacemaker neurons of Drosophila."
3235,"We found that the calcium rhythm is, in fact, a composite; it reflects daily fluctuations in both a slow component and a fast one. We interpret fast calcium fluctuations as representations of calcium dynamics that occur as neurons fire single action potentials or bursts of them. While it is not sufficient to resolve single action potentials, GCaMP6-induced fluorescence is a good index of neuronal electrical activity."
3236,"For individual identified pacemakers, these two calcium rhythms share the same daily pattern, yet distinct calcium sources appear to contribute differentially to these two rhythms. An extracellular calcium influx through plasma membrane calcium channels that include the α1T subunit is critical for the fast calcium fluctuations. In contrast, calcium fluxes from the endoplasmic reticulum via the channel ITPR are required for both the slow rhythms in the basal calcium levels and the fast ones."
3237,"Importantly, both channels are essential for normal circadian behavior. Thus, the molecular clocks may drive circadian rhythms in pacemaker neuron output by regulating different calcium sources to generate coordinated but distinct rhythms in its calcium activities. Calcium rhythms are widespread across taxa."
3238,"Calcium rhythms are required for circadian pacemaker functions in both rodents and Drosophila. Studies on mammalian circadian pacemakers in the SCN are controversial regarding the temporal relationship between the calcium rhythms and rhythms in electrical activity, such as in spontaneous firing rate and in resting membrane potential. Recordings from SCN slice cultures showed that the phases of calcium rhythms in individual pacemakers are diverse and could be different from the population phase of spontaneous firing rate rhythms."
3239,"However, the population spontaneous firing rate phase is composed of many diverse phases of spontaneous firing rate rhythms at the individual cell level; it is unclear whether spontaneous firing rate phases align with the phases of calcium rhythms. Imaging with both voltage sensors and calcium sensors in SCN slices, researchers concluded that resting membrane potential rhythms and calcium rhythms were in phase, yet others concluded that resting membrane potential rhythms and calcium rhythms were in phase in the ventral SCN but that in the dorsal SCN, the calcium rhythm phase led the resting membrane potential rhythms by approximately 2 hours. Because the voltage sensor signal measured from the dorsal SCN may derive from the neural processes of ventral SCN neurons, the cellular interpretation of these results is unclear. Another source for the inconsistency might be the culture conditions; in fact, when SCN neurons were recorded in vivo by photometry, the rhythms in fast calcium activity were in phase with slow calcium rhythms."
3240,"In general, comparisons of population rhythms and rhythms in single cells are not easily reconciled. Our recordings that tracked pacemaker neurons from different identified groups in vivo for 24 hours showed that at the single cell level, slow calcium rhythms were unambiguously in phase with rhythms in fast calcium fluctuations; the latter likely reflect rhythms in spontaneous firing rate. To measure the fast calcium fluctuations, we employed a high-frequency light-sheet scanning microscope termed OCPI-2."
3241,"OCPI-2 resolved limitations present in previous microscope designs that created a bottleneck in terms of the rate at which tissue volumes can be repeatedly scanned. Importantly, it does so without compromising photon efficiency or spatial resolution. Its use here was instrumental in allowing us to sample the whole-brain volume at frequencies as high as 5 Hz periodically throughout the day."
3242,"As before, we were mindful that the wavelength and amount of total incident light may activate pacemaker neurons and alter molecular clocks. We used cry01 flies to avoid the direct light responses of pacemaker neurons and found that all pacemaker groups displayed slow calcium rhythms, with patterns that were comparable to those we previously reported, except for that of l-LNv. That group displayed an additional calcium peak in the early evening and another just before lights on."
3243,"Because l-LNv innervates the optic lobes and receives large-scale visual inputs, we speculate that the repeated optical scanning might anomalously activate l-LNv in the evening via visual systems. In the later experiments, when we reduced the illumination duration per hour from 31.5 seconds to 2."
3244,"In 4 s, l-LNv did not show the additional evening peaks; this was true even when measured in flies that were wild type for cry. Shorter durations of light exposure allowed all pacemaker groups to display slow calcium rhythms with phases similar to those obtained from the slow-frequency recording sessions. Therefore, the concern to avoid technical artifacts when imaging light-sensitive pacemakers appears especially acute in the case of l-LNv."
3245,"Nevertheless, by carefully tuning the illumination intensity for calcium imaging, we propose that it is possible to monitor normal slow calcium rhythms and fast calcium fluctuations from the same individual pacemaker neurons. The causal relationships between clock gene rhythms, calcium rhythms, and electrical activity rhythms in the SCN remain generally unresolved. Treating SCN slices with Tetrodotoxin diminished SFR rhythms, partially affected RMP rhythms and CCRs, and slowly affected clock gene rhythms over several days."
3246,"Dispersed SCN cells in vitro showed a TTX-resistant CCR, suggesting that CCR is driven by clock gene rhythms. Thus, the variation in CCR sensitivity to TTX treatment might be caused by the degree to which clock gene rhythms in vitro become progressively dysfunctional. In Drosophila, our findings suggested that clock gene rhythms drive two components of the CCR—both basal calcium levels and fast calcium fluctuations—via circadian regulation of the ER channel ITPR and membrane voltage-gated calcium channel α1T."
3247,"Both channels might then contribute to SFR and RMP rhythms. Similarly, in SCN pacemakers, pharmacologically blocking another ER channel, RyR, affected both CCR and SFR rhythms, suggesting that rhythms in basal calcium levels are regulated by calcium from the ER and are required for fast electrical activity rhythms. In addition, SCN pacemakers also showed a circadian rhythm in fast calcium activity mediated by L-type voltage-gated calcium channels."
3248,"Pharmacologically blocking these membrane channels affected SFR rhythms and, in some cases, affected CCR. In our studies, manipulating a membrane voltage-gated calcium channel in all or a subset of pacemakers selectively affected rhythms in fast calcium fluctuations, which likely reflected SFR rhythms and thus impaired circadian outputs; however, it did not significantly affect the slow rhythms in basal calcium levels. Manipulating the ER calcium channel IP3R in all pacemakers affected rhythms in both slow and fast calcium rhythms."
3249,"Therefore, in parallel to mammalian SCN neurons, Drosophila circadian pacemakers generate calcium rhythms by regulating both ER and extracellular calcium sources. Since our results suggest little or no role for the RyR channel, the daily rhythmic regulation in fly pacemakers likely acts on a different set of ER and cytoplasmic membrane channels than those in mammalian pacemakers. We also presented RNAi evidence implicating the Itpr and Ca-alpha1T genes in pacemaker cell calcium fluxes."
3250,"However, for each, only a single RNAi proved effective in reducing rhythmic power and increasing the percentage of arrhythmicity. Corroboration for our findings is provided by a prior report, which found that the same RNAi line we used decreases Itpr RNA levels. Likewise, we find corroboration in a prior report by Jeong et al., who described a specific Ca-alpha1T insertion line as a protein null mutation that exhibited a reduced percentage of rhythmicity and power in DD but without a change in circadian period or in the daily per rhythm. They concluded that Ca-alpha1T expression does not affect the central clock mechanism and surmised instead that it likely affects the output of the circadian system, specifically via a requirement for the channel to permit normal physiological activation of pacemaker neurons. That work provides independent genetic confirmation of our RNAi results, and its conclusions align precisely with our own."
3251,"The RNAi knockdown experiments indicate a role for the ER calcium channel SERCA in supporting slow calcium rhythms in Drosophila pacemakers and behavioral rhythms. However, SERCA knockdown also produced high rates of lethality, and among survivors, strong effects on the PER molecular oscillation. We conclude that SERCA, which maintains the ER cytoplasmic calcium gradient, is essential for the normal physiology of the cells, but these additional phenotypes precluded an assessment of its precise role in circadian rhythmicity."
3252,"In contrast to the situation with SERCA, our results support a hypothesis that ITPR is a crucial actuator of the molecular clock. Previous transcriptomic analysis also supports that possibility; in circadian neurons, Itpr displays rhythmic expression, while SERCA does not. Knocking down Itpr in all circadian neurons generally caused stronger deficits in both behavioral rhythms and calcium rhythms than in just the PDF-positive neurons."
3253,"One possibility might be that the RNAi expression level is lower when driven by pdf-GAL4 than when driven by tim-GAL4. However, knocking down Itpr in all circadian neurons caused stronger deficits in the amplitude of calcium rhythms of non-PDF-positive neurons than in those of PDF-positive neurons."
3254,"Hence, a difference in the vulnerability to IP3R disruption between PDF-negative and PDF-positive neurons might provide an additional or alternative explanation for why the pdf-GAL4-driven knockdown of Itpr affected neither calcium rhythms nor behavior. We also note that there are examples where a single RNAi line produces stronger behavioral effects when coupled with pdf-GAL4 than with tim-GAL4. Such findings suggest that the final result in such experiments will represent a mixture of GAL4 driver line strength and the differential contributions of the UAS:Responder gene product across different positions within an affected neural circuit."
3255,"Finally, the RNAi knockdown of the plasma membrane calcium channel α1T indicated a role for voltage-gated T-type calcium channels in the final rhythmic output of the pacemakers. Consistent with a role in the presumed output pathway, impairing the rhythm of fast calcium activity strongly affected circadian behavior but did not affect the molecular clock or the slow calcium rhythms. T-type channels play a crucial role in other pacemakers, such as the sinoatrial node of the mammalian heart."
3256,"Their conduction in the hyperpolarized state and closure at more depolarized potentials are central to their role in generating bursting dynamics with periods much longer than the membrane time constant. Given the power spectrum of the fluctuations observed, it seems possible that α1T channels play a similar role in the fast fluctuations of Drosophila circadian neurons. Remarkably, the expression of α1T also displays a circadian rhythm, with distinct phases in different groups of pacemaker neurons."
3257,"Collectively, these results suggest that Itpr and α1T channel activity are critical together to produce clock regulation of rhythms in both slow and fast calcium activities of key pacemaker neurons. Materials and Methods Fly Stocks. Flies were reared on standard yeast-supplemented cornmeal/agar food at room temperature."
3258,"After eclosion, male flies were entrained under LD cycles at 25 °C for at least 3 days. The tim > GCaMPS6s; cry01/01 flies were entrained under LD for more than 6 days. The following fly lines were previously described: tim-GAL4, pdf-GAL4, cry-LexA, UAS-GCaMP6s, and LexAop-GCaMP6s."
3259,"UAS-dSTIM and UAS-dOrai were gifts from G. Hasan, National Center for Biological Sciences, Bengaluru, India. UAS-Itpr RNAi was a gift from Mark Wu, Johns Hopkins University, Baltimore, MD."
3260,"Stable lines UAS-dcr2; tim-GAL4; UAS-GCaMP6s and pdf-GAL4; UAS-dcr2; cry-LexA, LexAop-GCaMP6s were created for RNAi screening of calcium channels. The cry-LexA line was a gift from F. Rouyer, National Center for Scientific Research, Gyf, Paris, France."
3261,"RNAi lines were obtained from the Bloomington Drosophila Stock Center, the Vienna Drosophila Resource Center, and the Tokyo Stock Center: two lines for cac: UAS-KK101478-RNAi and UAS-JF02572-RNAi; two lines for α1T: UAS-KK100082-RNAi and UAS-JF02150-RNAi; three lines for α1D: UAS-GD1737-RNAi, UAS-JF01848-RNAi, and UAS-HMS00294-RNAi; two lines for α2δ: UAS-KK101267-RNAi and UAS-JF01825-RNAi; one line for Orai: UAS-HMC03562-RNAi; three lines for dSTIM: UAS-KK102366-RNAi, UAS-GLC01785-RNAi, and UAS-JF02567-RNAi; two lines for SERCA: UAS-KK107371-RNAi and UAS-JF01948-RNAi; and three lines for RyR: UAS-KK101716-RNAi, UAS-HM05130-RNAi, and UAS-JF03381-RNAi. In Vivo Fly Preparations and Calcium Imaging. The fly surgery followed procedures previously described."
3262,"Flies were first anesthetized by CO2 and immobilized by inserting the neck into a narrow cut in an aluminum foil base. A portion of the dorsoanterior cuticle on one side of the head, an antenna, and a small part of one compound eye were then removed. For slow calcium rhythm measurements, imaging was conducted with a custom horizontal scanning Objective Coupled Planar Illumination microscope."
3263,"The scanning was done by moving the stage horizontally every 10 minutes for 24 hours. Each scan contained 20 to 40 separate frames with a step size of 5 to 10 μm. For fast calcium rhythm measurements, imaging was conducted with a custom high-speed OCPI-2 microscope."
3264,"Each scanning session involved moving the objective using a piezo motor at 1 to 5 Hz for 1 to 2 minutes. The same scans were then repeated on the same specimens every hour for 24 hours. During both slow and fast imaging modes, fresh haemolymph-like solution was continuously perfused."
3265,Locomotor Activity Rhythm. The Trikinetics Drosophila Activity Monitor system was used to monitor the locomotor activity rhythms of individual flies; 4- to 6-day-old male flies were monitored for 6 days under LD cycles and then for 9 days under DD conditions. The circadian rhythmicity and periodicity were measured by χ2 periodograms with a 95% confidence cutoff and SNR analysis.
3266,"Arrhythmicity was defined by a power value less than 10, a width lower than one, and a period less than 18 hours or more than 30 hours. Immunocytochemistry. The flies were entrained for 6 days under LD and dissected at ZT0, ZT6, ZT12, and ZT18."
3267,"After dissection in ice-cold, calcium-free saline, fly brains were fixed for 15 minutes in 4% paraformaldehyde containing 7% picric acid in phosphate-buffered saline. Primary antibodies were rabbit anti-PER [1:5,000; provided by M. Rosbash, Brandeis University, Waltham, MA]."
3268,Secondary antisera were Cy3-conjugated. Images were taken on the Olympus FV1200 confocal microscope. PER protein immunostaining intensity was measured in ImageJ-based Fiji.
3269,"Imaging Data Analysis. Calcium imaging data were acquired by custom software, Imagine, and preprocessed using custom scripts in Julia 0.6 to produce nonrigid registration, alignment, and maximal projection along the z-axis."
3270,The images were then visualized and analyzed in ImageJ-based Fiji by manually selecting ROIs over individual cells or groups of cells and measuring the intensity of ROIs over time. Slow calcium activity was analyzed as described previously. Fast calcium activity in each scanning session was analyzed similarly.
3271,"Between sequential scanning sessions, the ROIs for individual neurons were manually corrected for position drifts. For the calcium signal of each ROI in each session, the mean of calcium intensity was measured. The range of calcium transients was measured by the average maximal calcium intensity at each time point and by the average minimal calcium intensity at each time point."
3272,"The power spectrum was generated by fast Fourier transform. Then, the calcium signal was filtered by a high-pass filter, and the standard deviation of calcium changes was measured. Calcium activity trace analysis and statistics were performed using R 3."
3273,"Network theory has been applied to connectomes at multiple scales to understand brain-wide organization. Such analyses quantify the interconnectivity and robustness of a network and can identify highly connected nodes that may act as hubs. They also serve as a basis for comparison across brain regions, individuals, developmental stages, or species, enabling researchers to identify commonalities and differences in brain organization. Mesoscale connectomes have been constructed for the brains of humans and other mammals from MRI and MEG data, relying on functional activity correlations to infer connectivity at the millimeter scale."
3274,"Rich-club organization has been observed in several mesoscale connectomes: in humans, other mammals, and light-level connectomes in Drosophila. Rich-club organization has been proposed to contribute to the ability of brains to efficiently integrate and disseminate information. Advancements in electron microscopy and dense volumetric reconstruction have enabled researchers to examine increasingly larger brain networks at the microscale."
3275,"These methods do not make assumptions about the relationship between neuron connectivity and functional correlations; nodes and edges can be directly related to neurons and synaptic connections. For example, rich-club neurons in Caenorhabditis elegans are part of well-studied motor control circuits. Patterns of neuronal connectivity that recur in different brain areas, known as motifs, have been proposed as ""building blocks"" of networks, and their prevalence in neural networks has been studied to identify organizational principles."
3276,"Motifs such as reciprocal connections, feedforward loops, and 3-unicycles have received considerable attention in neuroscience owing to their implications for local computation and information flow. In this study, we characterize the network properties of the whole-brain, synapse-resolution connectome generated by the Flywire Consortium, the first complete wiring diagram of an adult brain, that of a female Drosophila melanogaster, and we lay the groundwork for future experimental and theoretical studies in this model system. A summary of data products can be found in Table 1."
3277,"Summary of the dataset and definitions. Here we analyze the v630 snapshot of the Drosophila connectome as a directed weighted graph. Synapses were detected automatically, and for each α→β neuron pair, the total number of synapses between two neurons defines the connection weight. Consistent with the flagship connectome paper, we applied a threshold of five synapses per connection unless otherwise noted; however, we also examined the robustness of several results to variation in the synapse threshold."
3278,"This gives us a graph with 127,978 neurons and 2,613,129 connections. The connectome also contains synapse-level neurotransmitter predictions. The classifier discriminates between six neurotransmitters: the fast-acting classical neurotransmitters acetylcholine, GABA, and glutamate, and the monoamines dopamine, octopamine, and serotonin."
3279,"In Drosophila, acetylcholine is excitatory and GABA is inhibitory. Glutamate can be either excitatory or inhibitory, but within the brain of the fly, it has largely been observed to be inhibitory. The distribution of degrees reflects the amount of connectivity between neurons."
3280,"A neuron’s in-degree is defined as the number of presynaptic partners, and the out-degree is defined as the number of postsynaptic partners. The average in/out-degree of an intrinsic neuron in the brain is 20.5, but in-degree and out-degree are not highly correlated."
3281,"The average connection consists of 12.6 synapses, and the connection probability is 0.000161."
3282,"This makes the fly brain a very sparse matrix when compared with the C. elegans nervous system or the partial wiring diagrams of larval zebrafish and mouse, with or without a threshold applied. This sparsity is due in part to the size of the fly brain."
3283,"The connection probability is highest among neurons with nearby arbors. Only 3% of neuron pairs have arbors within 50 μm of each other, but such pairs make up 71% of all connections. However, even in this close regime, the connection probability in the fly is lower than in other wiring diagrams."
3284,"Neurons form one connected component. To assess interconnectivity, we searched for strongly and weakly connected components. Despite its sparsity, the brain forms a highly connected network—93.3% of neurons are contained in a single strongly connected component (SCC), while 98.8% of neurons are contained in a single weakly connected component (WCC). These giant connected components, which contain the majority of neurons, persist when either the strongest or weakest connections are pruned and are robust to threshold choice, indicating that connectivity is robust: many paths connect neuron pairs. Within the giant SCC, the average shortest directed path length between neuron pairs is 4.42 hops, with every neuron reachable within 13 hops. In the giant WCC, the average shortest undirected path length between neuron pairs is 3.91 hops, with every neuron reachable within 11 hops."
3285,"These numbers are comparable to those found in a similar analysis of the hemibrain dataset. The short path lengths show that the fly brain is relatively shallow compared with artificial networks. The similarities in size and path length distribution between the giant SCC and WCC highlight the prevalence of recurrent connections in the brain: in a mostly feedforward network, one would expect a smaller first SCC with longer path lengths."
3286,"To assess whether high interconnectivity is a consequence of a relatively large number of interconnected neurons or a small number of very highly connected neurons, we constructed survival curves, observing whether large connected components persist when neurons are removed. Removing neurons from the directed network, starting with those of the largest total degree, we find that the first SCC persists until a total degree of 50, at which point the network splits into two SCCs of roughly equal size. These two SCCs correspond to the left and right hemispheres and do not split into separate networks until about 60% of neurons are removed."
3287,Removing neurons from the network by smallest total degree does not result in the division of the first SCC. These results highlight the brain’s robust interconnectivity—it is not dependent on a small population of neurons. We observed similar behavior in the undirected network.
3288,"These results remain qualitatively consistent when neurons are removed by in-degree or out-degree alone. Spectral analysis of the brain: To better understand the brain’s topology, we performed a spectral analysis of a random walk in the giant SCC, which converges to a stationary distribution over all neurons in which 3% of neurons were visited 61.2% of the time."
3289,"These top-visited neurons are classified as attractor nodes. These attractors often make connections in the gnathal ganglia, a large midline neuropil that sends and receives information from the periphery and contains many connections to the ventral nerve cord. We also performed a reverse walk within the giant SCC, which converges to a stationary distribution in which 3% of neurons were visited 42%."
3290,"4% of the time. These neurons are repeller nodes and include many with synapses in the antennal lobes and medullae, brain regions that are close to the olfactory and visual periphery, respectively. The fly brain has a large rich club. Many networks exhibit the rich-club property in which well-connected nodes are preferentially connected to other well-connected nodes."
3291,"Comparing the observed network to a degree-preserving random configuration model, there exists a rich-club regime in the fly brain, with a cut-off of total degree = 37. This regime contains 40,218 neurons, approximately 30% of the neurons in the brain. The connection probability within the rich club is 0.000870, which is 5.4 times higher than the overall connection probability. The size of the rich club suggests that the network topology of the fly brain is fairly distributed, consistent with the connected component results."
3292,"A rich-club analysis considering in-degree alone finds a rich-club regime with an in-degree threshold of 10, while no rich club is observed when considering out-degree alone. Note that, as we continue to remove nodes, we enter a regime where the remaining neurons are no longer preferentially connected to each other. We further consider this very-high-degree regime in the Discussion."
3293,"To examine the extent to which long-distance connections contribute to the rich-club property observed in the fly brain, we constructed an extension of the CFG model in which we constrain the random network by enforcing the measured connection probabilities between the 78 neuropils. By fixing the number of connections between and within neuropils, this neuropil connection model implicitly contains mesoscale spatial information. We find that the observed network is not more highly connected than the NPC model, indicating that interneuropil connections contribute to the rich-club effect."
3294,"The fraction of neurons in the rich-club regime in the fly is substantially larger than in C. elegans, which has a rich club of 11 neurons. Note that the differences in rich-club size are sensitive to the criteria used to determine the rich-club cut-off and may also be a consequence of the different scales of these two networks."
3295,"Nonetheless, it is interesting to note that while the worm rich club contains known hub neurons, such as the command neurons AVA and AVB, such highly connected hub neurons do not seem to be present in the fly brain—although there are neurons with very high degrees, there also exist alternative paths between most neuron pairs. Recurrent motifs are over-represented. Connection reciprocity is a measure of the amount of direct feedback in the brain. Across the brain, this connection reciprocity probability is 0.138, higher than in both the Erdős–Rényi and CFG random models. The over-representation of reciprocal connections in brains is well established, and our results are consistent with previous observations in Drosophila and in other species. The clustering coefficient, a metric that assesses the prevalence of triplet structures in the network, is 0.0477 in the fly brain, higher than in both the ER and CFG models. The high clustering coefficient demonstrates that the network is highly connected and is non-random in its structure. We present these metrics alongside those for two existing whole-animal connectomes, the hermaphrodite and male C. elegans, and two subvolume wiring diagrams, the hindbrain of a larval zebrafish and a region of L2/3 mouse visual cortex. Despite differences in the sparsity of the different brain networks, the values of reciprocity and clustering coefficient are comparable across all five datasets. The ER and CFG models do not contain any spatial information, instead assuming that any neuron pair may randomly connect."
3296,"Our NPC model contains mesoscale spatial information but does not make distance comparisons for each neuron pair. We therefore constructed a neuron-neuron distance model with two different spatial zones of connection probability, informed by the distribution of connections as a function of distance. We computed the reciprocity and clustering coefficient for both the NND and NPC models and found that the metrics for the real network were higher than in both spatial null models, suggesting that the nonrandom connectivity observed in the brain is not solely a consequence of spatial or morphological constraints."
3297,"Direct comparisons of networks of different sizes should be interpreted with caution. While the fly and worm datasets are complete brains, the zebrafish and mouse datasets are derived from brain subvolumes with truncated neurons. Moreover, differences in synapse detection and thresholding will impact topological metrics such as connection probability and reciprocity."
3298,Varying the synapse threshold in the fly did not substantially change these metrics. A small-world network is one in which nodes are highly clustered and path lengths are short. High small-worldness coefficients are associated with efficient communication between nodes.
3299,"The small-worldness coefficient of the whole-brain fly connectome is SΔ = 141, higher than that of the C. elegans connectome and close to that of the internet, implying highly effective global communication among neurons in the brain. The average strength of edges participating in reciprocal connections is higher than the average strength of unidirectional connections."
3300,"The majority of unidirectional connections are cholinergic, while the edges participating in reciprocal connections contain fewer cholinergic neurons and more GABAergic neurons. Inhibitory connections in the brain have more synapses on average compared with excitatory connections, which may partially explain the higher average strength of reciprocal connections. The most common reciprocal pairing is ach-GABA, and the second most common pairing is ach-glutamate."
3301,"Both of these reciprocal motifs are excitatory-inhibitory, and both are overrepresented when compared to the neurotransmitter frequencies observed for reciprocal connections. By contrast, excitatory-excitatory ach-ach pairs are underrepresented, as are inhibitory-inhibitory GABA-GABA pairs. We observed reciprocal excitatory-inhibitory connection strengths to be only weakly correlated, whereas ach-ach pairs were uncorrelated."
3302,"Examples of reciprocal neuron pairs are shown in the figure. Of the 127,978 neurons in the brain, 77,607 participate in at least one reciprocal connection: approximately 2 in every 3 neurons."
3303,"Many neurons participate in multiple reciprocal connections. We define reciprocal degree as the number of reciprocal connections made by a given neuron. Plotting the distributions of reciprocal degree by neurotransmitter, we observe that the majority of neurons with a high reciprocal degree are GABAergic, while, at lower reciprocal degrees, all three primary neurotransmitter types are well represented."
3304,"For most neurons, the fraction of reciprocal connections is low—on average 23% of incoming and 18% of outgoing connections are reciprocal. Plotting the fraction of reciprocal incoming connections against the fraction of reciprocal outgoing connections, we observed only a weak correlation, suggesting that the reciprocal degree is not strongly coupled to either in-degree or out-degree. Similarly, there is no relationship between the total degree and the reciprocal degree."
3305,"However, dividing the neuron population by neurotransmitter, we find that neurons of high total degree are mostly GABAergic and, for many of these neurons, more than half of their total connections are reciprocal. The high clustering coefficient of the brain implies an overrepresentation of triplet structures. We determined the frequency at which each of the 12 directed three-node motifs occurs in the brain."
3306,"Feedforward motifs are underrepresented when compared to both ER and CFG models, while all others, including the highly recurrent motifs, are overrepresented. The strengths of edges participating in three-node motifs are higher than the average edge strength. Complex three-node motifs that contain reciprocal connections tend to be stronger than feedforward motifs."
3307,"Examining the neurotransmitter composition of two of these motifs, feedforward loops and 3-unicycles, we found that edges that participate in feedforward loops were predominantly cholinergic, and that the most common neurotransmitter composition includes three cholinergic neurons, forming a feedforward excitatory configuration. The next most common compositions contain either one or two inhibitory edges. Feedforward loops with one inhibitory edge are probably feedforward inhibition motifs, whereas loops with two inhibitory edges are likely disinhibition motifs."
3308,"By contrast, 3-unicycles contain a higher proportion of inhibitory GABAergic and glutamatergic neurons, and the three most common 3-unicycle compositions all contain at least one inhibitory neuron. These cycles may act as indirect feedback inhibition circuits. Notably, observed neurotransmitter composition frequencies are closer to what may be expected by chance for feedforward loops than for 3-unicycles."
3309,"Examples of neurons that form three-node motifs are shown in Figure 3f. A high clustering coefficient and an overrepresentation of highly connected motifs suggest that the local structure of the brain displays a high degree of non-randomness, consistent with previous studies in C. elegans and in the mouse cortex. The overrepresentation of feedforward loops has been widely observed in other biological networks, such as in the rat cortex and C. elegans."
3310,"This overrepresentation is present in most neuropils in the brain. Neurons with few inputs and many outputs may function as broadcasters of signals, while those with many inputs and few outputs may act as integrators. To examine such neurons, we divided the intrinsic rich-club neurons into three categories based on their relative in-degree and out-degree, defining broadcasters as those for which out-degree ≥ 5 × in-degree and integrators as those for which in-degree ≥ 5 × out-degree."
3311,"These definitions, while arbitrary, enable us to describe neuron populations with unbalanced in-/out-degrees. Given these definitions, we find 676 broadcasters and 638 integrators. The remaining intrinsic rich-club neurons, including most highly reciprocal neurons, fall into the balanced category."
3312,"In comparison to the overall population, rich-club neurons are less likely to be cholinergic and more likely to be GABAergic. Integrators are even less likely to be cholinergic and include a large fraction of dopaminergic neurons that may be engaged during learning. By contrast, broadcasters are predominantly cholinergic."
3313,"Central brain neurons are substantially overrepresented in the rich club, while optic lobe intrinsic neurons are underrepresented. Many integrators are either central-brain-intrinsic neurons or visual projection neurons, while few broadcasters are intrinsic to the central brain—many are visual centrifugal neurons or optic lobe intrinsic neurons. Broadcasters include a large number of Mi1 and Tm3 neurons—excitatory cells in the ME known to have key roles in the motion detection circuit."
3314,"Most neurons are restricted to a single hemisphere—11% have inputs in both hemispheres and 11% have outputs in both hemispheres. Rich-club neurons are more likely to have inputs or outputs spanning both hemispheres: 18% and 17%, respectively. This is more common for integrators than for broadcasters."
3315,"Some examples of broadcasters, integrators, and balanced neurons are shown in Fig. 4d. The rich club is close to sensory inputs. To assess the distance of the rich-club neurons from sensory inputs, we used a probabilistic information flow model to determine the relative distance of each neuron from a set of seed neurons."
3316,"The model was run with different sets of seed neurons, each corresponding to a specific set of sensory inputs to the brain. This includes all sensory receptors projecting to the central brain as well as the population of visual projection neurons. Ranking these distances and normalizing returned the percentile rank of each neuron with respect to each modality."
3317,"Neurons with a percentile rank < 50% are closer than average to the given input, while neurons with a percentile rank > 50% are farther. The rich-club neurons have a mean percentile rank of 44% relative to the set of all sensory inputs. Integrators have a mean percentile rank of 43%, while broadcasters have a mean percentile rank of 53%."
3318,"The distribution of broadcasters is bifurcated, with one peak closer to inputs and another peak far from inputs. The second peak consists primarily of broadcasters in the optic lobe, which are far from sensory inputs to the central brain. Examining the ranks with respect to individual sensory modalities, we find that rich-club neurons are again closer than average to each modality."
3319,"Examining the distance of neurons to multiple sensory modalities, we find that broadcasters and integrators, while scattered throughout these distributions, tend to be closer than average to multiple sensory inputs. Integrators and broadcasters that are low in rank relative to multiple modalities may be candidate sites for multisensory integration and information propagation. Network differences across brain regions: The Drosophila connectome has been segmented into 78 neuropils, each with different average connection strengths."
3320,"To understand information flow between neuropils, we used a fractional weighting method accounting for each neuron’s projections to and from every neuropil. We computed, for each neuropil, the relative fraction of internal, external incoming, and external outgoing connection weights. These fractions reflect, respectively, the net number of connections within, being received, and being sent from each neuropil."
3321,"We find differences in these fractions across brain regions: the ellipsoid body and fan-shaped body of the central complex have the highest fraction of internal connections, while in other regions, such as the mushroom body, the majority of connections are external. Some regions, such as the lateral horn, send more connections than they receive, while others, such as the lobula plate, receive more connections than they send. The fraction of internal connection weights is not correlated with neuropil size: while large neuropils such as the anterior and posterior ventrolateral protocerebra have sizable fractions of internal weights, they do not rank the highest."
3322,"Note that internal weights include any neurons with endings outside the brain, such as sensory, ascending, and descending neurons, accounting for the high fraction of internal weights in regions such as the ME, which receive inputs from R7 and R8 photoreceptors, and the GNG, which connects with large numbers of ascending and descending neurons. Across the brain, 52% of all connection weights can be classified as internal. Comparing the neurotransmitters of the neurons contributing connection weights, we see that internal connections are more likely than external ones to be inhibitory."
3323,"We also see differences in the neurotransmitter composition across regions. Reciprocal connections in neuropils: To perform motif analyses within each neuropil, we identified neuropil subnetworks that treat all connections within a neuropil as edges. Different neuropils differ in connection strength and density."
3324,"Computing the reciprocity in each neuropil, we found regions with high reciprocity probabilities, including the central complex and the ALs. The relative number of reciprocal connections is high in the MB and ME. Note that, for these motif analyses, the results for small neuropils such as the cantles, bulbs, galls, accessory ME, and ocellar ganglion are less interpretable due to the small number of neurons."
3325,"In most neuropils, as in the whole brain, reciprocal connections are stronger than unidirectional connections. Exceptions include the protocerebral bridge, MB calyces, and bulbs, which have stronger unidirectional than reciprocal connections. There are differences in the relative prevalence of each neurotransmitter in reciprocal and unidirectional connections across neuropils: while in most neuropils, reciprocal connections contain fewer cholinergic and more GABAergic edges, there are notable exceptions, such as in the neuropils of the central complex."
